match_id,match_id_raw,match_date,team1_id,team2_id,venue_id,match_type,format_label,event_name,gender,season,toss_winner_id,toss_decision,winner_id,result_type,margin_runs,margin_wickets,player_of_match,balls_per_over
1,1000887,2017-01-13,7,123,59,ODI,ODI,Pakistan in Australia ODI Series,male,2016/17,7,bat,7.0,runs,92.0,,MS Wade,6
2,1000889,2017-01-15,7,123,253,ODI,ODI,Pakistan in Australia ODI Series,male,2016/17,7,bat,123.0,wickets,,6.0,Mohammad Hafeez,6
3,1000891,2017-01-19,7,123,472,ODI,ODI,Pakistan in Australia ODI Series,male,2016/17,7,field,7.0,wickets,,7.0,SPD Smith,6
4,1000893,2017-01-22,7,123,413,ODI,ODI,Pakistan in Australia ODI Series,male,2016/17,7,bat,7.0,runs,86.0,,DA Warner,6
5,1000895,2017-01-26,7,123,5,ODI,ODI,Pakistan in Australia ODI Series,male,2016/17,7,bat,7.0,runs,57.0,,DA Warner,6
6,1001371,2016-12-04,7,118,413,ODI,ODI,Chappell-Hadlee Trophy,male,2016/17,7,bat,7.0,runs,68.0,,SPD Smith,6
7,1001373,2016-12-06,7,118,241,ODI,ODI,Chappell-Hadlee Trophy,male,2016/17,118,field,7.0,runs,116.0,,DA Warner,6
8,1001375,2016-12-09,7,118,253,ODI,ODI,Chappell-Hadlee Trophy,male,2016/17,7,bat,7.0,runs,117.0,,DA Warner,6
9,1004283,2016-09-08,149,72,141,ODI,ODI,Hong Kong in Scotland ODI Series,male,2016,72,field,,no result,,,,6
10,1004285,2016-09-10,149,72,141,ODI,ODI,Hong Kong in Scotland ODI Series,male,2016,149,bat,149.0,runs,53.0,,,6
11,1007649,2016-06-11,192,76,158,ODI,ODI,India in Zimbabwe ODI Series,male,2016,76,field,76.0,wickets,,9.0,KL Rahul,6
12,1007651,2016-06-13,192,76,158,ODI,ODI,India in Zimbabwe ODI Series,male,2016,76,field,76.0,wickets,,8.0,YS Chahal,6
13,1007653,2016-06-15,192,76,158,ODI,ODI,India in Zimbabwe ODI Series,male,2016,192,bat,76.0,wickets,,10.0,KL Rahul,6
14,1019973,2016-12-26,118,11,154,ODI,ODI,Bangladesh in New Zealand ODI Series,male,2016/17,118,bat,118.0,runs,77.0,,TWM Latham,6
15,1019975,2016-12-29,118,11,349,ODI,ODI,Bangladesh in New Zealand ODI Series,male,2016/17,11,field,118.0,runs,67.0,,NT Broom,6
16,1019977,2016-12-31,118,11,349,ODI,ODI,Bangladesh in New Zealand ODI Series,male,2016/17,11,bat,118.0,wickets,,8.0,KS Williamson,6
17,1020013,2017-01-30,118,7,117,ODI,ODI,Chappell-Hadlee Trophy,male,2016/17,7,field,118.0,runs,6.0,,MP Stoinis,6
18,1020017,2017-02-05,118,7,353,ODI,ODI,Chappell-Hadlee Trophy,male,2016/17,118,bat,118.0,runs,24.0,,TA Boult,6
19,1020031,2017-02-19,118,155,353,ODI,ODI,South Africa in New Zealand ODI Series,male,2016/17,155,field,155.0,wickets,,4.0,Q de Kock,6
20,1020033,2017-02-22,118,155,154,ODI,ODI,South Africa in New Zealand ODI Series,male,2016/17,155,field,118.0,runs,6.0,,LRPL Taylor,6
