player_id,player_name,primary_team
1,A Ahmadhel,Bulgaria
2,A Alexander,Indonesia
3,A Amado,Israel
4,A Andrews,Switzerland
5,A Ashish Reddy,Deccan Chargers
6,A Ashok,New Zealand
7,A Ashokan,Czech Republic
8,A Athanaze,West Indies
9,A Augastin,Tanzania
10,A Awasthi,Croatia
11,A Ayre,Melbourne Renegades
12,A Badoni,Lucknow Super Giants
13,A Bagai,Canada
14,A Balbirnie,Ireland
15,A Beresford-Peirse,Croatia
16,A Bhadauria,Luxembourg
17,A Bhagwat,Hong Kong
18,A Bhargava,Singapore
19,A Bhattarai,Nepal
20,A Bishnoi,Malta
21,A Bohara,Nepal
22,A Bramble,Guyana Amazon Warriors
23,A Bulow,Denmark
24,A Bushell,Guernsey
25,A Busing-Volschenk,Namibia
26,A Capsey,Delhi Capitals
27,A Chandila,Rajasthan Royals
28,A Chaubey,Croatia
29,A Chaudhary,Singapore
30,A Chenthamara,Kuwait
31,A Chopra,India
32,A Choudhary,Royal Challengers Bangalore
33,A Codrington,Canada
34,A Conteh,Gambia
35,A Curavic,Croatia
36,A Dananjaya,Sri Lanka
37,A Davidson Soler,Spain
38,A Daxini,Croatia
39,A Denuwan,Italy
40,A Desai,United States of America
41,A Dhabe,Sweden
42,A Dhar,Cayman Islands
43,A Dhingra,Luxembourg
44,A Dizija,Serbia
45,A Djorovic,Serbia
46,A Donovan,Philippines
47,A Dowling,Bulgaria
48,A Dutt,Netherlands
49,A Faletar,Croatia
50,A Ferguson,Argentina
51,A Flintoff,England
52,A Flower,Zimbabwe
53,A Gardner,Gujarat Giants
54,A Gasteratos,Greece
55,A Gavde,Cayman Islands
56,A Gbla,Sierra Leone
57,A Gorawara,Hong Kong
58,A Govorko,Croatia
59,A Gulati,Bahamas
60,A Gupta,Norway
61,A Halbhavi,Luxembourg
62,A Harris,Bahamas
63,A Husain,Argentina
64,A Ilaoa,Samoa
65,A Johnmary,France
66,A Johnson,Canada
67,A Kadowaki Fleming,Japan
68,A Kainessie,Sierra Leone
69,A Kalasi,Thailand
70,A Kamboj,India
71,A Kansonkho,Malawi
72,A Kapoor,Canada
73,A Karn,Nepal
74,A Kaul,Singapore
75,A Khan,Denmark
76,A Kheterpal,Hungary
77,A King,UP Warriorz
78,A Kirschbaum,Argentina
79,A Krishna,Singapore
80,A Kumble,Asia XI
81,A Kuthalingham,Turks and Caicos Island
82,A Langham,St Helena
83,A Lazic,Serbia
84,A Limdawala,Malawi
85,A Lyth,England
86,A Magdalenic,Croatia
87,A Maheshwari,Croatia
88,A Manatos,Greece
89,A Manepalli,Luxembourg
90,A Manohar,Gujarat Titans
91,A Manousis,Greece
92,A Mansale,Vanuatu
93,A Maregwede,Zimbabwe
94,A Martel,Guernsey
95,A Martin,West Indies
96,A McAuley,Isle of Man
97,A McGrath,England
98,A McKnight,Turks and Caicos Island
99,A Mehmood,Hong Kong
100,A Mene-Ejegi,Serbia
101,A Mhatre,Chennai Super Kings
102,A Mishra,India
103,A Mithun,India
104,A Modi,Singapore
105,A Mongar,Bhutan
106,A Morris,Cayman Islands
107,A Mpeka,Rangpur Riders
108,A Mucyodusenge,Rwanda
109,A Mukund,India
110,A Mundra,Sweden
111,A Mustafa,Argentina
112,A Mutreja,Singapore
113,A Nagarajan,Qatar
