team_id,team_name
1,Adelaide Strikers
2,Africa XI
3,Antigua Hawksbills
4,Antigua and Barbuda Falcons
5,Argentina
6,Asia XI
7,Australia
8,Austria
9,Bahamas
10,Bahrain
11,Bangladesh
12,Barbados Royals
13,Barbados Tridents
14,Barisal Bulls
15,Barisal Burners
16,Belgium
17,Belize
18,Bermuda
19,Bhutan
20,Botswana
21,Brazil
22,Brisbane Heat
23,Bulgaria
24,Cambodia
25,Cameroon
26,Canada
27,Cayman Islands
28,Chattogram Challengers
29,Chattogram Royals
30,Chennai Super Kings
31,Chile
32,China
33,Chittagong Kings
34,Chittagong Vikings
35,Comilla Victorians
36,Cook Islands
37,Costa Rica
38,Croatia
39,Cumilla Warriors
40,Cyprus
41,Czech Republic
42,Deccan Chargers
43,Delhi Capitals
44,Delhi Daredevils
45,Denmark
46,Dhaka Capitals
47,Dhaka Dominators
48,Dhaka Dynamites
49,Dhaka Gladiators
50,Dhaka Platoon
51,Durbar Rajshahi
52,Durdanto Dhaka
53,Duronto Rajshahi
54,England
55,Estonia
56,Eswatini
57,Fiji
58,Finland
59,Fortune Barishal
60,France
61,Gambia
62,Germany
63,Ghana
64,Gibraltar
65,Greece
66,Guernsey
67,Gujarat Giants
68,Gujarat Lions
69,Gujarat Titans
70,Guyana Amazon Warriors
71,Hobart Hurricanes
72,Hong Kong
73,Hungary
74,Hyderabad Kingsmen
75,ICC World XI
76,India
77,Indonesia
78,Iran
79,Ireland
80,Islamabad United
81,Isle of Man
82,Israel
83,Italy
84,Ivory Coast
85,Jamaica Tallawahs
86,Japan
87,Jersey
88,Karachi Kings
89,Kenya
90,Khulna Royal Bengals
91,Khulna Tigers
92,Khulna Titans
93,Kings XI Punjab
94,Kochi Tuskers Kerala
95,Kolkata Knight Riders
96,Kuwait
97,Lahore Qalandars
98,Lesotho
99,Lucknow Super Giants
100,Luxembourg
101,Malawi
102,Malaysia
103,Maldives
104,Mali
105,Malta
106,Melbourne Renegades
107,Melbourne Stars
108,Mexico
109,Minister Group Dhaka
110,Mongolia
111,Mozambique
112,Multan Sultans
113,Mumbai Indians
114,Myanmar
115,Namibia
116,Nepal
117,Netherlands
118,New Zealand
119,Nigeria
120,Noakhali Express
121,Norway
122,Oman
123,Pakistan
124,Panama
125,Papua New Guinea
126,Perth Scorchers
127,Peshawar Zalmi
128,Philippines
129,Portugal
130,Pune Warriors
131,Punjab Kings
132,Qatar
133,Quetta Gladiators
134,Rajasthan Royals
135,Rajshahi Kings
136,Rajshahi Royals
137,Rajshahi Warriors
138,Rangpur Rangers
139,Rangpur Riders
140,Rawalpindiz
141,Rising Pune Supergiant
142,Rising Pune Supergiants
143,Romania
144,Royal Challengers Bangalore
145,Royal Challengers Bengaluru
146,Rwanda
147,Samoa
148,Saudi Arabia
149,Scotland
150,Serbia
151,Seychelles
152,Sierra Leone
153,Singapore
154,Slovenia
155,South Africa
156,South Korea
157,Spain
158,Sri Lanka
159,St Helena
160,St Kitts and Nevis Patriots
161,St Lucia Kings
162,St Lucia Stars
163,St Lucia Zouks
164,Sunrisers Hyderabad
165,Suriname
166,Swaziland
167,Sweden
168,Switzerland
169,Sydney Sixers
170,Sydney Thunder
171,Sylhet Royals
172,Sylhet Sixers
173,Sylhet Strikers
174,Sylhet Sunrisers
175,Sylhet Super Stars
176,Sylhet Thunder
177,Sylhet Titans
178,Tanzania
179,Thailand
180,Timor-Leste
181,Trinbago Knight Riders
182,Trinidad & Tobago Red Steel
183,Turkey
184,Turks and Caicos Island
185,UP Warriorz
186,Uganda
187,United Arab Emirates
188,United States of America
189,Vanuatu
190,West Indies
191,Zambia
192,Zimbabwe
