venue_id,venue_name
1,"7he Sevens Stadium, Dubai"
2,AMI Stadium
3,"Achimota Senior Secondary School A Field, Accra"
4,"Achimota Senior Secondary School B Field, Accra"
5,Adelaide Oval
6,Affies Park
7,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
8,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
9,Amini Park
10,"Amini Park, Port Moresby"
11,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
12,Antigua Recreation Ground
13,"Antigua Recreation Ground, St John's"
14,"Antigua Recreation Ground, St John's, Antigua"
15,Arbab Niaz Stadium
16,Arnos Vale Ground
17,"Arnos Vale Ground, Kingstown"
18,"Arnos Vale Ground, Kingstown, St Vincent"
19,Arun Jaitley Stadium
20,"Arun Jaitley Stadium, Delhi"
21,Asgiriya Stadium
22,Aurora Stadium
23,"Aurora Stadium, Launceston"
24,"Ballpark Ground, Graz"
25,Bangabandhu National Stadium
26,"Bangabandhu National Stadium, Dhaka"
27,Barabati Stadium
28,"Barabati Stadium, Cuttack"
29,Barsapara Cricket Stadium
30,"Barsapara Cricket Stadium, Guwahati"
31,Basin Reserve
32,"Basin Reserve, Wellington"
33,Bay Oval
34,"Bay Oval, Mount Maunganui"
35,Bayer Uerdingen Cricket Ground
36,"Bayuemas Oval, Kuala Lumpur"
37,"Beausejour Stadium, Gros Islet"
38,"Belgrano Athletic Club Ground, Buenos Aires"
39,Bellerive Oval
40,"Bellerive Oval, Hobart"
41,Bermuda National Stadium
42,Bert Sutcliffe Oval
43,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
44,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
45,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram"
46,"Boland Bank Park, Paarl"
47,Boland Park
48,"Boland Park, Paarl"
49,"Botkyrka Cricket Center, Stockholm"
50,"Botswana Cricket Association Oval 1, Gaborone"
51,Brabourne Stadium
52,"Brabourne Stadium, Mumbai"
53,Bready
